Cost_ID,Affluence_Level,Tenure,Age,Gender,State,Has_Valid_Email_Address,Has_Valid_Mobile_Number,Number_Of_Inbound_Communication_In_24_MTH,Number_Of_Inbound_Communication_In_60_MTH,Number_Of_Outbound_Communication_In_24_MTH,Number_Of_Outbound_Communication_In_60_MTH,Pathway_Arrears_In_24_MTH,Pathway_Arrears_In_60_MTH,Inter_Mailing_Preferances_Update,Inter_Personal_Details_Update,Operating_System,Browser_type
{2B86CA52-9B6A-46D1-9835-4F21478F4535},Low income Low assets,6,6,Male,WA,TRUE,TRUE,6,19,18,66,0,0,0,0,4,5
{1E0C0D07-039A-4126-A338-332AA1CC171C},Highest income and assets,6,6,,VIC,FALSE,FALSE,7,14,24,104,1,1,0,0,3,1
{DA59AE49-409F-4C6B-BCEE-75A73A2C3108},High income High assets,8,6,Female,VIC,TRUE,TRUE,1,14,50,147,0,0,0,0,1,4
{4750919E-5DE4-4750-8046-8914ACD61078},High income High assets,6,6,,WA,TRUE,TRUE,4,14,54,139,0,0,0,0,2,3
{26C289E6-276D-41D7-9B81-AD09F2BA792F},Low income Low assets,6,6,,NSW,TRUE,TRUE,6,16,64,146,0,0,0,0,2,3
{49646641-9172-49CC-A85B-DE5876D445C7},Low income High assets,9,6,,NSW,TRUE,FALSE,13,29,73,163,1,1,0,0,4,1
{5F220E2C-B8E8-42AC-A994-D046BE431BA5},Low income Low assets,6,6,Female,NSW,TRUE,TRUE,14,30,73,125,0,0,0,0,4,1
{4DA8C790-D59A-4345-A615-2F4226694754},Average income Low assets,6,6,,NSW,TRUE,TRUE,6,13,50,115,0,0,0,0,4,4
{9D78BC82-45A8-4E8B-BBA3-31E69EC6743F},High income High assets,2,6,,VIC,TRUE,TRUE,7,7,52,52,0,0,0,0,3,1
{E206AC3D-A3F6-4DF6-980A-217B8B4045B2},Average income Low assets,6,6,,VIC,TRUE,FALSE,6,12,50,112,1,2,0,0,3,3
{009FA155-F5E4-4AAB-8F29-CB008D94FD65},Low income Low assets,6,6,Female,VIC,FALSE,FALSE,5,10,6,28,0,0,0,0,1,5
{ABC517B7-B243-453E-B71B-B7A35E4F5761},Low income High assets,2,6,Female,ACT,TRUE,TRUE,13,18,19,21,0,0,1,0,3,3
{FEFD91E2-5AE6-4E2C-A13A-A5154481D6B0},High income Low assets,6,6,Male,NSW,TRUE,TRUE,5,11,51,123,0,0,0,1,1,2
{FAE804A3-FADA-436D-AA77-EDDC9D463479},High income High assets,6,6,,NSW,TRUE,TRUE,11,26,77,178,0,0,0,0,2,5
{EB44CFFD-4826-4896-998C-447E2F1FD438},High income Low assets,4,6,,ACT,TRUE,TRUE,10,16,87,129,0,0,0,0,4,5
{F8EF9A8B-E095-45B3-BF03-79E39F3EEE62},High income Low assets,12,7,,VIC,TRUE,FALSE,0,5,32,80,0,0,0,0,4,1
{9D0D1D2E-D5A4-4333-B51E-F09E4B39E431},Highest income and assets,43,7,Male,NSW,TRUE,TRUE,0,0,72,135,0,0,0,0,3,4
{EA75E422-14AD-4458-BE4C-0C59FD2A41B2},Low income Low assets,18,7,Male,WA,TRUE,TRUE,7,10,16,26,0,0,1,1,3,3
{F7D8E729-BD06-43A7-A294-BDD9E12A3E64},High income High assets,3,7,,NSW,TRUE,TRUE,8,12,50,98,1,1,0,0,3,4
{78A0313E-4EB4-484A-A55A-720C34D76A49},Low income High assets,17,7,Male,VIC,FALSE,TRUE,5,12,9,30,1,1,0,0,1,3
{64323C07-75B8-4AF4-84E2-369E199278EC},Average income Average assets,6,7,Female,VIC,TRUE,TRUE,8,14,20,57,1,1,0,0,2,3
{8A042CB9-F2BB-490B-A7BB-9BD59296F05D},Highest income and assets,2,7,,VIC,TRUE,TRUE,15,16,53,55,0,0,0,0,4,1
{44A7AB23-AE13-4E98-94B8-0B5CA7506E06},Unknown,5,7,Female,VIC,TRUE,FALSE,10,28,25,54,0,0,0,2,4,5
{5D27C9B4-B416-4329-9C56-F20359E653AA},Low income High assets,6,7,Male,VIC,TRUE,TRUE,5,15,50,101,0,0,0,0,4,1
{66751B82-CB1D-4213-9775-AEB4B98EE32C},Average income Low assets,3,7,Female,WA,FALSE,TRUE,6,11,9,16,0,0,0,0,4,1
{850D96CC-4722-45FC-8026-8EA28ED12805},Average income Average assets,4,7,,NSW,TRUE,TRUE,15,21,82,142,0,0,0,1,3,3
{555032B3-ED20-4F1C-A5B7-65226C7F250E},Highest income and assets,13,7,Male,NSW,TRUE,TRUE,5,11,55,89,0,0,0,0,4,5
{0296ABDC-45BD-4305-AD20-0D38B5DDF3F5},High income High assets,14,7,Female,WA,TRUE,TRUE,5,12,49,118,0,0,0,0,1,1
{FB55C4D2-7C59-4151-852F-7E9BA7D18948},High income Low assets,5,7,,NSW,TRUE,TRUE,10,23,74,186,0,2,0,0,3,3
{8D6342C8-BE6B-4C08-9611-1A4F8C06FD49},Unknown,7,7,Female,WA,TRUE,TRUE,0,0,37,95,1,1,0,0,1,1
{BBB906BD-8D0F-43EA-A92B-80621D204D52},High income Low assets,3,8,,ACT,TRUE,FALSE,5,9,49,86,0,0,0,0,2,3
{2C7B18F0-09A8-4CE0-B1AD-EB8E8848966E},Average income Average assets,2,8,,VIC,TRUE,TRUE,8,11,78,91,0,0,0,0,4,4
{ED11A733-2EE7-4B12-9B43-DE655D2E8AB0},Low income High assets,17,8,Female,VIC,TRUE,TRUE,1,6,43,113,0,0,0,1,1,5
{ED01672A-D7BB-4B9F-AF8E-D98CF348C203},Low income High assets,7,8,,WA,TRUE,TRUE,0,2,44,87,0,3,0,0,2,2
{C0DFFC23-1F5F-4E84-849C-05D8BF8D854D},Average income Low assets,16,8,Male,QLD,TRUE,TRUE,4,8,55,128,1,1,0,0,3,4
{5784E86D-9720-4764-99E8-334A982316E3},Low income High assets,8,8,Male,NSW,TRUE,TRUE,16,27,62,94,2,3,0,0,1,4
{A8504C5F-A4B8-4632-B3ED-65DC7DDD3451},Low income Low assets,6,8,Male,VIC,TRUE,TRUE,6,15,55,108,0,0,0,0,3,5
{33575EC9-546F-4AB4-BF06-979C5BD553FA},High income Low assets,14,8,Male,NSW,TRUE,FALSE,5,19,59,128,0,1,0,0,3,4
{B27B0587-6530-4A7D-B775-49C0BDC42D34},High income High assets,8,8,Female,NSW,TRUE,TRUE,6,19,76,153,0,0,0,0,4,1
{26DEDF03-ECFA-4C53-8624-444AC4B438C9},High income Low assets,8,8,,WA,TRUE,TRUE,3,9,46,96,0,0,0,0,2,3
{7F010A58-26AB-4731-BF4C-29C49C3BF568},Low income High assets,6,8,Female,NSW,TRUE,FALSE,10,17,47,106,2,2,0,1,1,4
{9AB65CDB-37EA-4313-88BC-D98ED0743220},High income High assets,8,8,Male,VIC,TRUE,TRUE,6,14,80,191,1,2,0,1,2,3
{1CF1CDEB-D3F1-4A41-A057-B59ADCA7CBAA},Highest income and assets,3,8,,VIC,TRUE,TRUE,9,23,37,65,1,1,0,0,3,5
{B1DD4359-8078-4030-8B87-9C71CCC43AC9},Highest income and assets,2,8,,VIC,TRUE,TRUE,3,4,66,73,1,1,0,0,2,2
{30C3168F-0E3F-4270-88F0-2A56910CE3E3},High income High assets,0,8,,NSW,TRUE,TRUE,7,7,18,18,0,0,0,0,4,5
{211A40B3-5936-43C0-8079-73BBC6AF7C94},Low income High assets,2,8,,NSW,TRUE,TRUE,9,9,76,80,0,0,0,0,2,5
{3651FCEF-D4AC-4F52-B6A5-8D1455307884},Low income Low assets,0,8,,VIC,TRUE,TRUE,2,2,20,20,0,0,0,0,4,5
{D5A81CCA-9F4F-474D-8E0F-F2CC71C85E8C},Average income Average assets,4,8,,TAS,TRUE,TRUE,4,7,49,97,0,0,0,0,1,3
{350CD114-5556-426E-85AA-2FB5D1CA3322},Highest income and assets,16,8,Female,SA,TRUE,FALSE,8,22,64,166,0,0,0,0,1,2
{CDF17B53-171C-4B71-9266-618779BE81C5},Highest income and assets,5,8,Male,WA,TRUE,TRUE,10,22,36,73,1,1,0,3,2,4
{90AD8DA5-F290-44B3-B1DA-72AA7066D341},Low income High assets,9,9,Female,WA,TRUE,TRUE,8,14,73,167,1,1,0,0,2,4
{81F3E650-0542-4F51-8654-AA56D020A094},Average income Low assets,1,9,Female,VIC,FALSE,TRUE,7,7,10,10,0,0,0,0,4,1
{AA0F375F-5BA6-49E1-B902-5A3FA39A13C9},Average income Average assets,3,9,,NSW,TRUE,TRUE,12,20,76,126,0,0,0,0,2,2
{85556630-0F56-42D7-A6F0-207848E8DC2E},Average income Low assets,8,9,Male,NSW,TRUE,TRUE,7,17,19,93,1,1,0,1,2,1
{D7F170B1-B21D-4564-BEE9-5723BEB758BA},Low income High assets,8,9,Female,NSW,TRUE,FALSE,4,13,4,33,0,0,0,0,1,5
